short_link,valid_link
http://www.washingtontimes.com/blog/inside-politics/2012/sep/9/tech-challenge-obama-has-trouble-iphone/,https://www.washingtontimes.com:443/blog/inside-politics/2012/sep/9/tech-challenge-obama-has-trouble-iphone/
http://cmplx.it/NWeYoe,https://www.complex.com/music/2012/09/nicki-minaj-responds-to-president-obamas-comments-about-her-mitt-romney-lyric
http://i2.cdn.turner.com/cnn/2012/images/09/10/rel10a.pdf,http://i2.cdn.turner.com/cnn/2012/images/09/10/rel10a.pdf
http://youtu.be/xZMNMOZw1AI,https://www.youtube.com/watch?v=xZMNMOZw1AI&feature=youtu.be
http://www.politico.com/news/stories/0912/80998.html,https://www.politico.com/story/2012/09/obama-hugger-shop-facing-boycott-080998
http://youtu.be/0fa3HHnw8Tg?a,https://www.youtube.com/watch?v=0fa3HHnw8Tg&feature=youtu.be&a
http://at.mtv.com/sAJ,http://www.mtv.com/news/1693522/president-obama-nicki-minaj-dedication-4/
http://www.dailykos.com/story/2012/09/09/1129679/-Chief-of-Cherokee-Nation-Calls-Obama-the-Best-President-EVER-for-American-Indians,https://www.dailykos.com/stories/2012/09/09/1129679/-Chief-of-Cherokee-Nation-Calls-Obama-the-Best-President-EVER-for-American-Indians
http://theatln.tc/Sw9X7t,https://www.theatlantic.com/politics/archive/2012/09/the-record-setting-ex-presidency-of-jimmy-carter/262143/
http://movies.yahoo.com/news/anti-obama-pic-2-political-documentary-now-bigger-100758566.html,https://www.yahoo.com/entertainment/news/anti-obama-pic-2-political-documentary-now-bigger-100758566.html
http://bit.ly/QAxbSQ,https://edition.cnn.com/2012/09/10/world/meast/iraq-politics-violence/index.html
http://www.nostradamus.org/f/index.php?topic=254.0,http://www.nostradamus.org/f/index.php?topic=254.0
http://wp.me/p1JRPo-4i,https://kendricklaw.wordpress.com/2012/09/10/legal-life-lesson-vote-or-die-yes-its-that-serious/
http://act.demandprogress.org/act/ndaa_lawsuit_win/?referring_akid=.194196.pE4I30&source=typ-tw,https://act.demandprogress.org/act/ndaa_lawsuit_win/?referring_akid=.194196.pE4I30&source=typ-tw
http://bit.ly/PcTYG4,https://internasional.kompas.com/read/2012/09/13/07525387/Obama.Mengecam.Keras.Serangan.di.Benghazi?utm_source=twitterfeed&utm_medium=twitter
http://bbc.in/P38UXw,https://www.bbc.co.uk/news/av/world-us-canada-19540522
http://nyti.ms/QuQNgX,https://www.nytimes.com/2012/09/10/us/politics/legal-battles-on-voting-may-prove-a-critical-issue-in-election.html?smid=tw-share
http://youtu.be/0fa3HHnw8Tg,https://www.youtube.com/watch?v=0fa3HHnw8Tg&feature=youtu.be
http://bbc.in/Rud2TU,https://www.bbc.co.uk/news/world-latin-america-19538882
http://bbc.in/RMR4KT,https://www.bbc.co.uk/news/world-africa-19540325
http://bit.ly/RvrWt5,http://www.cnn.com/2012/09/10/world/meast/iraq-politics-violence/index.html?utm_source=twitterfeed&utm_medium=twitter&utm_campaign=Feed%3A+rss%2Fcnn_topstories+%28RSS%3A+CNN+-+Top+Stories%29
http://tinyurl.com/preztrack,https://www.rasmussenreports.com:443/public_content/politics/trump_administration/prez_track_nov16
