,Unnamed: 0,id,created_at,text,source,tweet_type,source_tweet_id,retweeted_tweet_id,quoted_tweet_id,quote_count,retweet_count,favorite_count,hashtags,most_unrolled_urls,tweet_links,user_screen_name,user_id,user_mentions,user_followers_count,user_following_count,user_listed_count,user_created_at,user_favourites_count,user_verified,user_statuses_count,expanded_links,url_title,url_description,url_domain,clean_text
17,188,244907786755002368,2012-09-09 21:19:01,RT @theonlyadult: Chief of Cherokee Nation Calls Obama the Best President EVER for American Indians http://t.co/kclJp3Tz via @dailykos,web,retweet,244888986810736640,2.4488898681073664e+17,,0,17,0,,http://www.dailykos.com/story/2012/09/09/1129679/-Chief-of-Cherokee-Nation-Calls-Obama-the-Best-President-EVER-for-American-Indians|http://www.dailykos.com/story/2012/09/09/1129679/-Chief-of-Cherokee-Nation-Calls-Obama-the-Best-President-EVER-for-American-Indians,http://www.dailykos.com/story/2012/09/09/1129679/-Chief-of-Cherokee-Nation-Calls-Obama-the-Best-President-EVER-for-American-Indians,69Matts20cents,481559427,232851192|20818801,56,80,1,Thu Feb 02 22:31:12 +0000 2012,0,False,3683,https://www.dailykos.com/stories/2012/09/09/1129679/-Chief-of-Cherokee-Nation-Calls-Obama-the-Best-President-EVER-for-American-Indians,chief of cherokee nation calls obama the best president ever for american indians,for too long in this country native americans the indigenous people of this land not only had their land and culture stolen but had to endure poverty as well as discrimination racism neglect ,www.dailykos.com,rt adult chief cherokee nation calls obama best president ever american indians via dailykook chief cherokee nation calls obama best president ever american indians long country native americans indigenous people land land culture stolen endure poverty well discrimination racism neglect
18,207,244907810717040640,2012-09-09 21:19:06,RT @portalJORNALE: Ex-padre usa casa de suingue para fazer campanha.  Roque Rauber  candidato a vereador em Porto Alegre. http://t.co/L ...,web,retweet,244907567430656000,2.44907567430656e+17,,0,1,0,,http://t.co/L|http://bit.ly/P6kpO6,http://t.co/L|http://bit.ly/P6kpO6,AdrianeWerner,55934245,58538112,2443,1667,76,Sat Jul 11 21:25:23 +0000 2009,0,False,34747,https://www.luxmea.co/,home  luxmea,,www.luxmea.co,rt portal journal sex padre usa casa de suing ueparafazercampanharoque rather candidato ave read ore porto alert home lux
19,233,244907839125086208,2012-09-09 21:19:13,RT @dennygirltwo: GO VIRAL http://t.co/4ypHY64v #Obama Un-narrated Documentary( his own words) #Seniors #NFL #AFL #2016 #CO #OH #Ohio # ...,web,retweet,244830823214350336,2.4483082321435037e+17,,0,18,0,Obama|Seniors|NFL|AFL|CO|OH|Ohio|VA|FL|Communism|WI,http://youtu.be/nWVL7TptQ24?a|http://youtu.be/nWVL7TptQ24?a,http://youtu.be/nWVL7TptQ24?a,DonCKissick,24528410,194615561,241,230,18,Sun Mar 15 14:17:05 +0000 2009,0,False,4258,https://www.youtube.com/watch?v=nWVL7TptQ24&feature=youtu.be&a,obama un-narrated documentary/review (in his own words) - youtube,from snorkeldogg http://wwwyoutubecom/user/snorkeldogg/videos wordsmatter2012 is another source used for this video wordsmatter2012 was launched this past,www.youtube.com,rt deny girl two go viral obama un narrated documentary words seniors nfl afl2016coohohioobamaun narrated documentary review words youtube snooker dogg words matter two thousand and twelve another source used video words matter two thousand and twelve launched past
20,245,244907852525875200,2012-09-09 21:19:16,RT @BuzzFeed: SO GOOD RT @BuzzFeedAndrew: This is amazing. Pizza shop owner gives president a big hug. http://t.co/knxK5zcG,web,retweet,244880434423541760,2.4488043442354176e+17,,0,56,0,,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big|http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,KateWoodsWalker,21933115,5695632|326255267,25,121,0,Wed Feb 25 23:02:36 +0000 2009,0,False,464,https://www.buzzfeednews.com/article/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,pizza shop owner gives president a big hug,scott van duzer owner of the big apple pizza showed his affection for the president today in florida,www.buzzfeednews.com,rt buzz feed good rt buzz feed andrew amazing pizza shop owner gives president big hug pizza shop owner gives president big hug scott van user owner big apple pizza showed affection president today florida
21,270,244907898520629248,2012-09-09 21:19:27,Florida pizza shop owner powerlifts Obama  The Ticket - Yahoo News http://t.co/HpwRiRyF via @YahooNews,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244907898520629248,,,0,0,0,,http://news.yahoo.com/blogs/ticket/florida-pizza-shop-owner-powerlifts-obama-195921467--election.html,http://news.yahoo.com/blogs/ticket/florida-pizza-shop-owner-powerlifts-obama-195921467--election.html,xXRaleighGuyXx,151452073,7309052,11,45,0,Thu Jun 03 12:54:13 +0000 2010,0,False,158,https://news.yahoo.com/blogs/ticket/florida-pizza-shop-owner-powerlifts-obama-195921467--election.html,florida pizza shop owner powerlifts obama,florida pizza shop owner scott van duzer lifted president barack obama a solid foot off the ground in a bear hug during an unscripted stop at his fort pierce fla store literally so what did the secret service think about van duzer  a registered republican who says hell vote for obama in november  [],news.yahoo.com,florida pizza shop owner power lifts obama ticket yahoo news via yahoo news florida pizza shop owner power lifts obama florida pizza shop owner scott van user lifted president barack obama solid foot ground bear hug scripted stop fort pierce fla store literally secret service think van user registered republican say shell vote obama november
22,272,244907902031241216,2012-09-09 21:19:28,Americas refusal to extradite Bolivias ex-president to face genocide charges http://t.co/AWZ1dcki by @ggreenwald,web,tweet,244907902031241216,,,0,0,0,,http://bit.ly/Pfoy3W,http://bit.ly/Pfoy3W,kgosztola,15808218,16076032,10019,1026,541,Mon Aug 11 13:49:38 +0000 2008,0,False,17244,https://www.theguardian.com/commentisfree/2012/sep/09/america-refusal-extradite-bolivia,americas refusal to extradite bolivias ex-president to face genocide charges  bolivia  the guardian,glenn greenwald: obama justice officials have all but granted asylum to snchez de lozada  a puppet who payrolled key democratic advisers,www.theguardian.com,americas refusal extradited bolivia sex president face genocide charges g greenwald americas refusal extradited bolivia sex president face genocide charges bolivia guardian glenn greenwald obama justice officials granted asylum sn chez de load puppet pay rolled key democratic advisers
23,282,244907915557875712,2012-09-09 21:19:31,Disappointed  President Obama http://t.co/ry076glm via @youtube,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244907915557875712,,,0,0,0,,http://www.youtube.com/watch?v=1uQXlo44cps&sns=tw,http://www.youtube.com/watch?v=1uQXlo44cps&sns=tw,8I_notweak,812006292,10228272,0,0,0,Sun Sep 09 00:54:22 +0000 2012,0,False,2,https://www.youtube.com/watch?v=1uQXlo44cps&sns=tw,disappointed  president obama - youtube,after 4 years many of president obamas once-fervent supporters are disappointed with the lack of progress is this the new direction that so many hoped f,www.youtube.com,disappointed president obama via youtube disappointed president obama youtube four years many president obama fervent supporters disappointed lack progress new direction many hoped f
24,286,244907917948641280,2012-09-09 21:19:32,Pizza Shop Owner Gives President A Big Hug http://t.co/cq3HTx7D via @buzzfeed,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",tweet,244907917948641280,,,0,0,0,,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,http://www.buzzfeed.com/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,KatNohio,29055725,5695632,17,39,0,Sun Apr 05 20:22:34 +0000 2009,0,False,219,https://www.buzzfeednews.com/article/andrewkaczynski/air-obama-pizza-shop-owner-gives-president-a-big,pizza shop owner gives president a big hug,scott van duzer owner of the big apple pizza showed his affection for the president today in florida,www.buzzfeednews.com,pizza shop owner gives president big hug via buzz feed pizza shop owner gives president big hug scott van user owner big apple pizza showed affection president today florida
25,295,244907925821337601,2012-09-09 21:19:34,RT @sugarscape: Demi Lovato spat on Simon Cowell during X Factor USA audition. LOVELY. http://t.co/rX7LgDbk,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",retweet,244907173216407553,2.4490717321640755e+17,,0,12,0,,http://on.sugarsca.pe/TEkoDJ|http://on.sugarsca.pe/TEkoDJ,http://on.sugarsca.pe/TEkoDJ,TanvirD_1D,458097479,16510838,1727,1986,12,Sun Jan 08 05:22:58 +0000 2012,0,False,29619,https://www.cosmopolitan.com/uk/,cosmopolitan uk the womens magazine for fashion beauty sex tips and celebrity news,,www.cosmopolitan.com,rt sugars cape demi lovato spat simon powell factor usa audition lovely cosmopolitan uk womens magazine fashion beauty sex tips celebrity news
26,306,244907941843582976,2012-09-09 21:19:38,#OBAMA FORUM &gt Obama talks Medicare in Space Coast appearance - Orlando Sentinel  http://t.co/05H7AjZJ,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",tweet,244907941843582976,,,0,0,0,OBAMA,http://frog.ly/?p=80,http://frog.ly/?p=80,allobama1,304096143,,2,0,0,Mon May 23 22:47:47 +0000 2011,0,False,2883,https://www.lftechnology.com/,leapfrog technology,leapfrog is a full-stack technology services company focused on product engineering data engineering and ai hire us to scale your technology innovation with high performing remote engineering teams,www.lftechnology.com,obama forum gt obama talks medical space coast appearance orlandosentinel leapfrog technology leapfrog full stack technology services company focused product engineering data engineering hire us scale technology innovation high performing remote engineering teams
